registration,approved,address,ward,expires
R17000017804,2026-09-11,"4115 North Lawler Avenue, Chicago, IL 60641, United States",38,2026-09-15
R18000031907,2026-09-11,"2940 North Albany Avenue Unit 3, Chicago, IL 60618, United States",35,2026-09-15
R19000047696,2026-09-11,"737 West Gordon Terrace, Chicago, IL 60613, US",46,2026-09-15
R20000059819,2026-09-11,"3851 North Kildare Avenue 2, Chicago, IL 60641, US",30,2027-10-15
R21000069368,2026-09-11,"2300 N neva , Chicago, IL 60707, United States",29,2027-08-15
R21000072639,2026-09-11,"3539 N DAMEN AVE Garden 1, Chicago, IL 60618, United States",47,2026-10-15
R22000088568,2026-09-11,"1930 N Winchester Garden 1, Chicago, IL 60622, United States",32,2026-09-15
R22000089010,2026-09-11,"1441 N Cleveland AVE Unit F, Chicago, IL 60610, United States",27,2026-09-15
R22000090582,2026-09-11,"2215 W Rice ST Unit 2, Chicago, IL 60622, United States",36,2027-10-15
R23000108624,2026-09-11,"1074 N Hermitage AVE Unit 2R, Chicago, IL 60622, United States",1,2026-09-15
R23000109364,2026-09-11,"3538 W Melrose ST Apt. 2, Chicago, IL 60618, United States",35,2026-10-15
R23000110104,2026-09-11,"209 N Morgan ST Apt 201, Chicago, IL 60607, United States",27,2026-10-15
R24000120929,2026-09-11,"6236 W Cuyler AVE, Chicago, IL 60634, United States",38,2027-09-15
R24000120935,2026-09-11,"1228 N Campbell AVE # 3, Chicago, IL 60622, United States",26,2026-09-15
R24000121395,2026-09-11,"2042 W Warren BLVD, Chicago, IL 60612, United States",27,2026-10-15
R24000121883,2026-09-11,"1642 N Artesian AVE FL 1, Chicago, IL 60647, United States",1,2026-10-15
R24000121974,2026-09-11,"410 E 78th ST Apt 2, Chicago, IL 60619, United States",6,2026-10-15
R24000122092,2026-09-11,"6445 N Magnolia AVE Apt 1, Chicago, IL 60626, United States",49,2027-10-15
R25000132638,2026-09-11,"840 W Grand AVE Apt 3W, Chicago, IL 60642, United States",27,2026-09-15
R25000132685,2026-09-11,"1465 W Chicago AVE Apt 3, Chicago, IL 60642, United States",27,2026-09-15
R25000132841,2026-09-11,"3633 W Fullerton AVE FL 2, Chicago, IL 60647, United States",35,2026-09-15
R25000132979,2026-09-11,"1810 S Melody CT, Chicago, IL 60616, United States",11,2026-09-15
R25000133612,2026-09-11,"6948 N Ashland BLVD Apt. 1B, Chicago, IL 60626, United States",49,2026-09-15
R25000133613,2026-09-11,"2025 W Granville AVE Apt 308, Chicago, IL 60659, United States",40,2026-09-15
R25000133668,2026-09-11,"5045 N Melvina AVE, Chicago, IL 60630, United States",45,2026-10-15
