account_number,name,entity_type,status,registered,domestic_or_foreign,formation_place,naics,street,city,state,zip,email
3519610,SaponiFly Soap Co LLC,LLC,Active,2026-09-20,Domestic,Connecticut,Soap and Other Detergent Manufacturing (325611),9 Idlewood,Bethel,CT,06801-1423,s***@yahoo.com
3519611,Unrestricted Growth LLC,LLC,Active,2026-09-20,Domestic,Connecticut,Administrative Management and General Management Consulting Services (541611),1900 Mount Vernon Rd,Southington,CT,06489-1066,k***@gmail.com
3519625,IRONWELL LLC,LLC,Active,2026-09-20,Domestic,Connecticut,"Plumbing, Heating, and Air-Conditioning Contractors (238220)",33 Castle Hill Dr,Bethel,CT,06801-1202,i***@gmail.com
3519636,"KSG Realty, LLC",LLC,Active,2026-09-20,Domestic,Connecticut,Nonresidential Property Managers (531312),377 Main Street,WEST HAVEN,CT,06516,k***@kngrealty.com
3519638,SWT Fiduciary Services llc,LLC,Active,2026-09-20,Domestic,Connecticut,Other Individual and Family Services (624190),136 Bartholomew Ave,Hartford,CT,06106-2901,s***@gmail.com
3519645,AOHD Ventures LLC,LLC,Active,2026-09-20,Domestic,Connecticut,"Independent Artists, Writers, and Performers (711510)",137 Isaiah Smith Ln,Morris,CT,06763-1509,a***@yahoo.com
3519661,The Coastal Local Collective LLC,LLC,Active,2026-09-20,Domestic,Connecticut,"Gift, Novelty, and Souvenir Retailers (459420)",33 Nature Lane,Shelton,CT,06484,t***@gmail.com
3519665,Wasley Accounting & Advisory LLC,LLC,Active,2026-09-20,Domestic,Connecticut,Other Accounting Services (541219),63 Lyman Rd,West Hartford,CT,06117-1312,a***@gmail.com
3519669,Piccarello Managemet LLC,LLC,Active,2026-09-20,Domestic,Connecticut,Residential Property Managers (531311),34 Skinner Rd,Bolton,CT,06043-7839,b***@gmail.com
3519676,La Cucharita LLC,LLC,Active,2026-09-20,Domestic,Connecticut,Perishable Prepared Food Manufacturing (311991),110 third st.,Hamden,CT,06514,l***@gmail.com
3519683,BUILT with Bec Nutrition Coaching LLC,LLC,Active,2026-09-20,Domestic,Connecticut,All Other Personal Services (812990),207 Metcalf Road,Tolland,CT,06084-3761,b***@gmail.com
3519689,RockUniverse LLC,LLC,Active,2026-09-20,Domestic,Connecticut,Software Publishers (513210),220 stonefield dr,Waterbury,CT,06705,f***@playrockuniverse.com
3519702,Vectis Compute LLC,LLC,Active,2026-09-20,Domestic,Connecticut,Custom Computer Programming Services (541511),4 Morse Ave,West Haven,CT,06516-6126,g***@vectiscompute.com
3519707,Nevaeh Jean LLC,LLC,Active,2026-09-20,Domestic,Connecticut,Jewelry and Silverware Manufacturing (339910),8 Croft Ct,Pawcatuck,CT,06379-1233,d***@gmail.com
3519711,Bubbyz Brands LLC,LLC,Active,2026-09-20,Domestic,Connecticut,"Doll, Toy, and Game Manufacturing (339930)",22 Foxs Ln,Greenwich,CT,06830-5236,b***@gmail.com
3519713,AMCR Beauty And More LLC,LLC,Active,2026-09-20,Domestic,Connecticut,All Other General Merchandise Retailers (455219),139 lawlor st 3N,new Britain,CT,06051,a***@gmail.com
3519724,Northwoods Prints LLC,LLC,Active,2026-09-20,Domestic,Connecticut,Clothing and Clothing Accessories Retailers (458110),3766 Hall Meadow Rd.,Goshen,CT,06058,z***@northwoodsprints.com
3519727,FOXES YARD MANAGEMENT LLC,LLC,Active,2026-09-20,Domestic,Connecticut,Landscaping Services (561730),10 Spruce Drive,Unionville,CT,06085-1004,f***@gmail.com
3519735,BlackStar Strategies LLC,LLC,Active,2026-09-20,Domestic,Connecticut,Other Scientific and Technical Consulting Services (541690),467 West Ave,Norwalk,CT,06850-4029,e***@blackstarllc.co
3519741,lucklessgrind LLC,LLC,Active,2026-09-20,Domestic,Connecticut,All Other General Merchandise Retailers (455219),95 Valley Rd,West Harrison,NY,10604-2316,c***@aol.com
3519742,JB Executive Transportation LLC,LLC,Active,2026-09-20,Domestic,Connecticut,Taxi and Ridesharing Services (485310),17 Berkeley Street,Norwalk,CT,06850,j***@gmail.com
3519754,"DDA Advisory, LLC",LLC,Active,2026-09-20,Domestic,Connecticut,Administrative Management and General Management Consulting Services (541611),25 Webster Rd,Ridgefield,CT,06877,d***@ddaadvisoryllc.com
3519767,Patsun Septic and Drain LLC,LLC,Active,2026-09-20,Domestic,Connecticut,Site Preparation Contractors (238910),20 Blueberry Hill Rd,Tolland,CT,06084-3718,b***@patsunseptic.com
3519778,The Stacks LLC,LLC,Active,2026-09-20,Domestic,Connecticut,Limited-Service Restaurants (722513),61 Mechanic St,New Haven,CT,06511-2633,t***@gmail.com
3519782,Africa Rebirth Limited Liability Company,LLC,Active,2026-09-20,Domestic,Connecticut,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers (516210)",30 Maplewood Road,New Haven,CT,06515,e***@africarebirth.com
