camis,restaurant,cuisine,building,street,borough,zip,phone,inspected,inspection_type,action
50177793,FORNO D'ORO,Italian,196,8 AVENUE,Manhattan,10011,***-***-**51,2026-09-10,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50168829,Z-GRILL SALAD PIZZA,American,803,8 AVENUE,Manhattan,10019,***-***-**59,2026-09-09,Pre-permit (Operational) / Re-inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.
50180926,HOMEMADE TAQUERIA,Mexican,539,9 AVENUE,Manhattan,10018,***-***-**23,2026-09-09,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50181152,GANG YUE,Chinese,60-10,KISSENA BOULEVARD,Queens,11355,***-***-**86,2026-09-09,Pre-permit (Operational) / Compliance Inspection,Violations were cited in the following area(s).
50181897,ATOMIC WINGS,Chicken,61-42,188 STREET,Queens,11365,***-***-**32,2026-09-09,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50183521,TEAFUL,Coffee/Tea,1780,GRAND CONCOURSE,Bronx,10457,***-***-**21,2026-09-09,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50183578,DEAR COFFEE,Coffee/Tea,170,WEST 23 STREET,Manhattan,10011,***-***-**07,2026-09-09,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50184826,SAUCY MEXICAN GRILL,Mexican,184-22,HORACE HARDING EXPRESSWAY,Queens,11365,***-***-**98,2026-09-09,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50185425,COSPIRE CAFE,Other,36-28,BELL BOULEVARD,Queens,11361,***-***-**16,2026-09-09,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50186144,LADUREE,Bakery Products/Desserts,620,5 AVENUE,Manhattan,10020,***-***-**09,2026-09-09,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50187070,SENA CAFE & CO.,Coffee/Tea,816,SENECA AVENUE,Queens,11385,***-***-**30,2026-09-09,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50189038,JO HAUS,Other,1762,1 AVENUE,Manhattan,10128,***-***-**88,2026-09-09,Pre-permit (Non-operational) / Re-inspection,Violations were cited in the following area(s).
50189705,PALACE CLUB,Other,608,EAST FORDHAM ROAD,Bronx,10458,***-***-**91,2026-09-09,Pre-permit (Non-operational) / Initial Inspection,Violations were cited in the following area(s).
50189968,TOASTIQUE BRYANT PARK NYC,"Juice, Smoothies, Fruit Salads",445,5 AVENUE,Manhattan,10016,***-***-**77,2026-09-09,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50151369,CHIMOLI COCINA,Mexican,3398,EAST TREMONT AVENUE,Bronx,10461,***-***-**76,2026-09-08,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).
50161868,DUMPLING XI,Chinese,37-02,PRINCE STREET,Queens,11354,***-***-**98,2026-09-08,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).
50168310,DANTE APERITIVO,Italian,51,BANK STREET,Manhattan,10014,***-***-**56,2026-09-08,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50169556,GUACTIME,Mexican,25-27,PARSONS BOULEVARD,Queens,11354,***-***-**44,2026-09-08,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).
50177986,MEZEH,Mediterranean,900,BROADWAY,Manhattan,10003,***-***-**78,2026-09-08,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).
50183908,MI CASAsaqueovelasquez09,Latin American,45-12,104 STREET,Queens,11368,***-***-**00,2026-09-08,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50183932,JOE'S STEAM RICE ROLL,Chinese,10,DOYERS STREET,Manhattan,10013,***-***-**03,2026-09-08,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50184072,PANCAFE,Coffee/Tea,90-40,160 STREET,Queens,11432,***-***-**50,2026-09-08,Pre-permit (Operational) / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.
50184185,YUMYUM,American,221,BROOK AVENUE,Bronx,10454,***-***-**66,2026-09-08,Pre-permit (Operational) / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.
50187523,COLOMBICHE,Latin American,73-01,YELLOWSTONE BOULEVARD,Queens,11375,***-***-**05,2026-09-08,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50188535,DUNKIN/BASKIN ROBBINS,Coffee/Tea,87-77,PARSONS BOULEVARD,Queens,11432,***-***-**81,2026-09-08,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
